Subset      Reference   Calculated
RSE43          433.92   431.29
RSE43          438.82   447.08
RSE43          431.22   430.01
RSE43          432.02   431.81
RSE43          433.32   433.61
RSE43          428.92   426.82
RSE43          430.42   429.35
RSE43          429.92   429.75
RSE43          414.22   412.54
RSE43          421.82   421.46
RSE43          423.52   422.36
RSE43          425.52   425.28
RSE43          425.42   424.63
RSE43          425.32   425.34
RSE43          425.42   425.75
RSE43          428.82   428.34
RSE43          428.12   431.42
RSE43          419.42   419.61
RSE43          436.62   439.42
RSE43          418.82   417.49
RSE43          420.72   421.71
RSE43          423.02   420.78
RSE43          418.62   415.77
RSE43          428.42   432.06
RSE43          428.12   429.81
RSE43          429.02   428.69
RSE43          425.92   427.85
RSE43          425.52   427.78
RSE43          427.62   428.70
RSE43          432.52   434.18
RSE43          420.42   424.33
RSE43          422.82   427.93
RSE43          434.32   436.00
RSE43          421.82   426.07
RSE43          431.52   434.57
RSE43          428.42   429.96
RSE43          408.82   403.64
RSE43          406.82   404.13
RSE43          405.52   401.58
RSE43          418.82   416.61
RSE43          425.22   422.10
RSE43          429.62   429.01
S22              3.13     2.19
S22              4.99     4.64
S22             18.75    19.26
S22             16.06    15.42
S22             20.64    18.47
S22             16.93    16.95
S22             16.66    16.15
S22              0.53     0.56
S22              1.47     1.72
S22              1.45     1.69
S22              2.65     2.41
S22              4.25     3.66
S22              9.80     9.45
S22              4.52     3.64
S22             11.73    10.78
S22              1.50     1.49
S22              3.27     3.59
S22              2.31     2.49
S22              4.54     4.64
S22              2.72     2.86
S22              5.63     5.57
S22              7.10     6.36
S66              4.92     4.30
S66              5.59     5.25
S66              6.91     7.25
S66              8.10     7.26
S66              5.76     5.19
S66              7.55     7.76
S66              8.23     7.33
S66              5.01     4.05
S66              3.06     2.82
S66              4.16     3.81
S66              5.42     4.85
S66              7.27     7.38
S66              6.19     5.72
S66              7.45     7.30
S66              8.63     8.11
S66              5.12     4.15
S66             17.18    15.62
S66              6.86     7.20
S66              7.41     7.66
S66             19.09    18.35
S66             16.26    14.76
S66             19.49    17.85
S66             19.19    17.57
S66              2.82     2.70
S66              3.90     3.86
S66              9.83     9.40
S66              3.44     3.29
S66              5.71     4.93
S66              6.82     6.08
S66              1.43     1.28
S66              3.38     3.27
S66              3.74     3.35
S66              1.87     1.63
S66              3.78     4.38
S66              2.61     3.01
S66              1.78     2.03
S66              2.40     2.84
S66              3.00     3.33
S66              3.58     3.68
S66              2.90     3.04
S66              4.85     5.48
S66              4.14     4.51
S66              3.71     4.00
S66              2.01     2.22
S66              1.75     1.72
S66              4.26     4.59
S66              2.88     3.02
S66              3.54     3.79
S66              3.33     3.43
S66              2.87     3.12
S66              1.52     1.49
S66              4.71     5.07
S66              4.36     4.37
S66              3.28     3.61
S66              4.19     4.33
S66              3.23     3.29
S66              5.28     5.45
S66              4.15     4.02
S66              2.85     2.37
S66              4.87     4.77
S66              2.91     3.29
S66              3.53     3.93
S66              3.80     3.59
S66              3.00     2.98
S66              3.99     4.52
S66              3.97     3.63
SCONF            0.86     0.56
SCONF            2.28     3.06
SCONF            3.08     3.70
SCONF            4.60     4.02
SCONF            4.87     3.75
SCONF            4.16     4.67
SCONF            4.38     5.06
SCONF            6.19     5.52
SCONF            6.18     6.05
SCONF            5.65     6.56
SCONF            5.59     6.45
SCONF            5.93     4.86
SCONF            6.31     6.34
SCONF            6.22     7.10
SCONF            0.20     0.09
SCONF            6.16     2.41
SCONF            5.54     1.02
SIE4x4          64.40    71.16
SIE4x4          58.90    62.07
SIE4x4          48.70    47.59
SIE4x4          38.30    33.82
SIE4x4          56.90    63.86
SIE4x4          46.90    64.70
SIE4x4          31.30    56.01
SIE4x4          19.10    48.81
SIE4x4          35.90    42.32
SIE4x4          25.90    28.30
SIE4x4          13.40    14.76
SIE4x4           4.90     0.05
SIE4x4          39.70    46.84
SIE4x4          29.10    35.15
SIE4x4          16.90     9.61
SIE4x4           9.30    12.37
TAUT15           4.30     2.60
TAUT15           6.56     6.25
TAUT15          -5.44    -9.65
TAUT15           5.25     2.34
TAUT15          13.03    16.54
TAUT15           0.93    -5.83
TAUT15           0.74    -6.14
TAUT15           1.45    -6.26
TAUT15          -0.17    -6.08
TAUT15          -0.87    -7.13
TAUT15           2.85     3.64
TAUT15           2.15     2.38
TAUT15           0.55    -0.26
TAUT15           0.95     2.18
TAUT15          -0.45    -6.85
UPU23            4.87     2.36
UPU23            2.97     2.59
UPU23            8.90     6.91
UPU23            2.22    -0.52
UPU23            2.02     1.98
UPU23            3.14     1.71
UPU23            0.57    -1.66
UPU23            3.32     3.45
UPU23            7.26     5.27
UPU23            3.96     2.18
UPU23           11.13     8.27
UPU23            4.82     4.27
UPU23           14.41    11.24
UPU23            5.15     2.39
UPU23            5.48     5.17
UPU23            6.84     4.54
UPU23            3.90     1.84
UPU23            6.43     4.43
UPU23            5.42     2.82
UPU23            6.70     5.63
UPU23            5.60     4.83
UPU23           10.42     9.24
UPU23            6.09     4.86
W4-11          109.49   120.93
W4-11          213.17   232.20
W4-11           73.57    72.98
W4-11          324.94   344.46
W4-11          281.29   299.09
W4-11           85.00    77.48
W4-11          190.75   201.09
W4-11           73.92    75.12
W4-11          535.88   564.66
W4-11          307.87   328.64
W4-11          420.42   450.41
W4-11          607.02   632.72
W4-11          382.75   383.20
W4-11          242.27   250.09
W4-11          713.08   759.36
W4-11         1007.91  1070.46
W4-11          181.46   181.03
W4-11           84.22    80.31
W4-11          183.91   188.29
W4-11           87.73    89.66
W4-11          721.50   752.69
W4-11          582.30   607.54
W4-11          422.96   437.08
W4-11          861.58   906.97
W4-11          298.02   305.83
W4-11          811.24   843.92
W4-11          474.63   493.59
W4-11          564.10   592.22
W4-11          513.50   529.92
W4-11          107.50   107.95
W4-11          182.59   182.58
W4-11           83.10    77.68
W4-11          482.28   498.06
W4-11          410.97   392.23
W4-11          232.97   230.58
W4-11          141.64   134.51
W4-11          446.08   462.86
W4-11          107.21   102.85
W4-11          705.61   734.21
W4-11          677.86   695.62
W4-11          704.10   734.37
W4-11          577.78   527.63
W4-11          470.97   441.37
W4-11          573.89   585.40
W4-11          651.53   670.97
W4-11          437.67   434.18
W4-11          430.97   411.39
W4-11          309.10   298.62
W4-11          359.93   344.91
W4-11          438.28   441.28
W4-11          439.44   446.87
W4-11          163.78   136.13
W4-11          804.02   812.00
W4-11          405.52   414.92
W4-11          374.66   373.69
W4-11          343.75   342.20
W4-11          182.52   132.13
W4-11          225.27   220.64
W4-11          322.48   302.49
W4-11          312.65   298.71
W4-11          317.65   301.85
W4-11          122.62   102.75
W4-11          533.46   533.70
W4-11          142.71   120.51
W4-11          501.90   488.68
W4-11          336.25   329.68
W4-11          635.10   620.94
W4-11          403.74   387.36
W4-11          248.06   240.67
W4-11          478.76   445.91
W4-11          398.47   390.94
W4-11          313.42   300.91
W4-11          298.20   273.21
W4-11          266.16   258.25
W4-11          279.42   257.82
W4-11          259.73   211.91
W4-11          456.07   453.20
W4-11          420.64   392.68
W4-11          410.07   388.07
W4-11          269.09   254.10
W4-11          296.53   276.93
W4-11          434.74   417.01
W4-11          291.13   274.94
W4-11          258.78   196.90
W4-11          390.14   363.09
W4-11          386.09   361.10
W4-11          410.03   398.74
W4-11          132.72   100.96
W4-11          165.13   152.55
W4-11          166.23   150.20
W4-11          502.04   466.21
W4-11          228.49   188.78
W4-11          224.86   201.47
W4-11          335.75   307.91
W4-11          193.05   157.35
W4-11          285.45   258.28
W4-11          175.53   158.75
W4-11          364.97   336.59
W4-11          350.15   314.20
W4-11          205.89   178.08
W4-11          158.65   143.22
W4-11          312.22   267.24
W4-11          312.65   265.31
W4-11          280.78   252.83
W4-11          331.79   292.85
W4-11          172.22   137.18
W4-11          181.35   150.10
W4-11          346.94   251.53
W4-11          177.36   136.86
W4-11          105.81    74.55
W4-11          260.62   180.95
W4-11          152.75   117.29
W4-11          126.47    93.77
W4-11          270.85   224.37
W4-11          233.09   199.75
W4-11          104.25    84.70
W4-11          290.58   247.15
W4-11           59.75    45.38
W4-11          120.82    93.64
W4-11           39.04    22.29
W4-11          233.30   194.48
W4-11          208.78   147.69
W4-11          117.59    91.47
W4-11           62.80    44.23
W4-11          227.88   178.96
W4-11           65.45    42.34
W4-11          168.36   123.16
W4-11          101.46    71.72
W4-11          234.35   168.71
W4-11           53.08    36.25
W4-11          147.02   104.70
W4-11          128.12    60.82
W4-11           93.78    64.32
W4-11           67.46    38.82
W4-11          134.72    96.85
W4-11          126.39    90.62
W4-11          152.37   108.21
W4-11          147.43    94.76
W4-11          105.24    65.77
W4-11            2.67    -0.25
WATER27          5.01     4.57
WATER27         15.80    14.80
WATER27         27.40    26.85
WATER27         35.90    35.16
WATER27         46.00    43.57
WATER27         45.80    44.32
WATER27         45.30    44.23
WATER27         44.30    42.79
WATER27         72.60    70.83
WATER27         72.60    70.84
WATER27        198.60   196.83
WATER27        208.00   197.56
WATER27        208.00   198.92
WATER27        209.70   201.99
WATER27         33.50    37.44
WATER27         56.90    60.56
WATER27         76.50    78.97
WATER27        117.80   119.18
WATER27        114.90   117.70
WATER27         26.60    30.49
WATER27         48.40    51.84
WATER27         67.60    70.75
WATER27         84.80    85.64
WATER27         84.80    87.40
WATER27        100.70   102.32
WATER27        115.70   118.26
WATER27         28.50    15.48
WCPT18          36.76    35.01
WCPT18          36.21    34.30
WCPT18          60.95    63.44
WCPT18          47.52    46.90
WCPT18          65.68    69.69
WCPT18          81.24    97.05
WCPT18          32.00    31.55
WCPT18          28.97    29.88
WCPT18          58.80    62.82
WCPT18           5.40    -3.93
WCPT18           2.68   -10.13
WCPT18          28.78    22.11
WCPT18           8.68    -3.32
WCPT18          33.89    24.86
WCPT18          59.63    57.19
WCPT18           5.83     0.06
WCPT18           3.54    -5.16
WCPT18          33.22    28.94
YBDE18          57.17    50.58
YBDE18          91.14    85.21
YBDE18          20.96     9.86
YBDE18          36.40    20.04
YBDE18          38.99    32.59
YBDE18          51.74    40.13
YBDE18          12.31    34.15
YBDE18          53.73    73.10
YBDE18          32.58    35.64
YBDE18          28.87    28.19
YBDE18          42.11    50.01
YBDE18          42.81    47.01
YBDE18          52.28    46.75
YBDE18          76.37    68.97
YBDE18          44.80    34.45
YBDE18          60.11    45.50
YBDE18          66.59    68.62
YBDE18          78.00    74.61
